,policy_1,policy_2,win_rate,total_rewards,policy_1_wins,policy_2_wins
0,0,1,0.52,8,1,0
0,0,2,0.48,-4,0,1
0,0,3,0.45,-10,0,1
0,0,4,0.48,0,0,1
0,0,5,0.46,-14,0,1
0,0,6,0.44,-20,0,1
0,0,7,0.44,-19,0,1
0,0,8,0.47,-6,0,1
0,0,9,0.41,-24,0,1
0,0,10,0.42,-25,0,1
0,0,11,0.36,-47,0,1
0,0,12,0.4,-32,0,1
0,0,13,0.39,-42,0,1
0,0,14,0.42,-23,0,1
0,0,15,0.4,-32,0,1
0,0,16,0.4,-31,0,1
0,0,17,0.38,-32,0,1
0,1,2,0.52,7,1,0
0,1,3,0.58,31,1,0
0,1,4,0.5,4,0,0
0,1,5,0.5,-6,0,0
0,1,6,0.44,-13,0,1
0,1,7,0.48,-8,0,1
0,1,8,0.52,11,1,0
0,1,9,0.5,-7,0,0
0,1,10,0.51,9,1,0
0,1,11,0.55,10,1,0
0,1,12,0.36,-46,0,1
0,1,13,0.44,-18,0,1
0,1,14,0.44,-17,0,1
0,1,15,0.44,-13,0,1
0,1,16,0.51,-3,1,0
0,1,17,0.57,28,1,0
0,2,3,0.6,35,1,0
0,2,4,0.44,-14,0,1
0,2,5,0.51,6,1,0
0,2,6,0.47,-17,0,1
0,2,7,0.36,-34,0,1
0,2,8,0.4,-22,0,1
0,2,9,0.35,-40,0,1
0,2,10,0.44,-16,0,1
0,2,11,0.39,-35,0,1
0,2,12,0.35,-45,0,1
0,2,13,0.47,-1,0,1
0,2,14,0.38,-43,0,1
0,2,15,0.45,-21,0,1
0,2,16,0.42,-33,0,1
0,2,17,0.42,-23,0,1
0,3,4,0.47,-10,0,1
0,3,5,0.55,12,1,0
0,3,6,0.49,-6,0,1
0,3,7,0.47,-13,0,1
0,3,8,0.43,-18,0,1
0,3,9,0.38,-40,0,1
0,3,10,0.36,-50,0,1
0,3,11,0.43,-25,0,1
0,3,12,0.4,-36,0,1
0,3,13,0.37,-43,0,1
0,3,14,0.41,-33,0,1
0,3,15,0.38,-37,0,1
0,3,16,0.51,4,1,0
0,3,17,0.47,-11,0,1
0,4,5,0.5,-1,0,0
0,4,6,0.47,-7,0,1
0,4,7,0.55,15,1,0
0,4,8,0.45,-5,0,1
0,4,9,0.5,-3,0,0
0,4,10,0.5,1,0,0
0,4,11,0.49,-3,0,1
0,4,12,0.35,-54,0,1
0,4,13,0.38,-37,0,1
0,4,14,0.47,-3,0,1
0,4,15,0.46,-20,0,1
0,4,16,0.5,6,0,0
0,4,17,0.46,-7,0,1
0,5,6,0.47,-8,0,1
0,5,7,0.54,5,1,0
0,5,8,0.5,5,0,0
0,5,9,0.46,-13,0,1
0,5,10,0.44,-19,0,1
0,5,11,0.39,-22,0,1
0,5,12,0.5,9,0,0
0,5,13,0.36,-43,0,1
0,5,14,0.42,-22,0,1
0,5,15,0.44,-19,0,1
0,5,16,0.49,-8,0,1
0,5,17,0.47,-4,0,1
0,6,7,0.51,1,1,0
0,6,8,0.55,3,1,0
0,6,9,0.45,-22,0,1
0,6,10,0.47,-15,0,1
0,6,11,0.48,-6,0,1
0,6,12,0.44,-17,0,1
0,6,13,0.56,18,1,0
0,6,14,0.44,-14,0,1
0,6,15,0.45,-13,0,1
0,6,16,0.49,-9,0,1
0,6,17,0.39,-36,0,1
0,7,8,0.52,7,1,0
0,7,9,0.42,-20,0,1
0,7,10,0.57,14,1,0
0,7,11,0.53,9,1,0
0,7,12,0.44,-17,0,1
0,7,13,0.37,-40,0,1
0,7,14,0.49,-5,0,1
0,7,15,0.56,17,1,0
0,7,16,0.47,-12,0,1
0,7,17,0.41,-18,0,1
0,8,9,0.5,14,0,0
0,8,10,0.56,14,1,0
0,8,11,0.47,-5,0,1
0,8,12,0.52,-2,1,0
0,8,13,0.47,-12,0,1
0,8,14,0.42,-20,0,1
0,8,15,0.54,11,1,0
0,8,16,0.47,-13,0,1
0,8,17,0.44,-19,0,1
0,9,10,0.46,-17,0,1
0,9,11,0.57,15,1,0
0,9,12,0.41,-33,0,1
0,9,13,0.42,-31,0,1
0,9,14,0.56,24,1,0
0,9,15,0.52,6,1,0
0,9,16,0.47,-19,0,1
0,9,17,0.45,-21,0,1
0,10,11,0.56,21,1,0
0,10,12,0.51,12,1,0
0,10,13,0.54,13,1,0
0,10,14,0.39,-23,0,1
0,10,15,0.48,-5,0,1
0,10,16,0.51,5,1,0
0,10,17,0.53,5,1,0
0,11,12,0.51,6,1,0
0,11,13,0.47,-13,0,1
0,11,14,0.43,-29,0,1
0,11,15,0.46,-9,0,1
0,11,16,0.39,-33,0,1
0,11,17,0.35,-41,0,1
0,12,13,0.49,-6,0,1
0,12,14,0.59,36,1,0
0,12,15,0.54,12,1,0
0,12,16,0.49,0,0,1
0,12,17,0.54,16,1,0
0,13,14,0.51,-5,1,0
0,13,15,0.44,-15,0,1
0,13,16,0.51,-1,1,0
0,13,17,0.48,-3,0,1
0,14,15,0.55,11,1,0
0,14,16,0.64,40,1,0
0,14,17,0.5,-2,0,0
0,15,16,0.5,3,0,0
0,15,17,0.47,-9,0,1
0,16,17,0.42,-19,0,1
